pair_id,sequence_id,pair_type,previous_file,current_file,previous_frame_index,current_frame_index,recommended_for_id_eval
pair_031,C08,temporal_adjacent,C08_F01_imperfect_hint_large_move.ply,C08_F02_second_imperfect_hint_group_shift.ply,1,2,1
pair_032,C08,temporal_adjacent,C08_F02_second_imperfect_hint_group_shift.ply,C08_F03_near_roi_group_translation.ply,2,3,1
pair_033,C08,temporal_adjacent,C08_F03_near_roi_group_translation.ply,C08_F04_large_motion_rebound.ply,3,4,1
pair_034,C09,temporal_adjacent,C09_F00_visibility_complex_start.ply,C09_F01_multi_partial_all_move.ply,0,1,1
pair_035,C09,temporal_adjacent,C09_F01_multi_partial_all_move.ply,C09_F02_one_occluded_one_partial.ply,1,2,1
pair_036,C09,temporal_adjacent,C09_F02_one_occluded_one_partial.ply,C09_F03_return_plus_new.ply,2,3,1
pair_037,C09,temporal_adjacent,C09_F03_return_plus_new.ply,C09_F04_visibility_recovered.ply,3,4,1
pair_038,C10,temporal_adjacent,C10_F00_rebound_start.ply,C10_F01_push_forward_xy_yaw.ply,0,1,1
pair_039,C10,temporal_adjacent,C10_F01_push_forward_xy_yaw.ply,C10_F02_rebound_reverse.ply,1,2,1
pair_040,C10,temporal_adjacent,C10_F02_rebound_reverse.ply,C10_F03_rebound_then_far_new.ply,2,3,1
pair_041,C10,temporal_adjacent,C10_F03_rebound_then_far_new.ply,C10_F04_rebound_final_settle.ply,3,4,1
pair_042,P01,baseline_variant,P01_F00_baseline.ply,P01_F01_rollObs_mild.ply,0,1,1
pair_043,P01,baseline_variant,P01_F00_baseline.ply,P01_F02_rollObs_heavy.ply,0,2,1
pair_044,P01,baseline_variant,P01_F00_baseline.ply,P01_F03_yaw_p3.ply,0,3,1
pair_045,P01,baseline_variant,P01_F00_baseline.ply,P01_F04_yaw_n5.ply,0,4,1
pair_046,P01,baseline_variant,P01_F00_baseline.ply,P01_F05_moveX_p20.ply,0,5,1
pair_047,P01,baseline_variant,P01_F00_baseline.ply,P01_F06_moveX_p45_yaw_p4.ply,0,6,1
pair_048,P01,baseline_variant,P01_F00_baseline.ply,P01_F07_partial_mild.ply,0,7,1
pair_049,P01,baseline_variant,P01_F00_baseline.ply,P01_F08_partial_heavy.ply,0,8,1
pair_050,P01,baseline_variant,P01_F00_baseline.ply,P01_F09_top_dominant.ply,0,9,1
pair_051,P01,baseline_variant,P01_F00_baseline.ply,P01_F10_side_dominant.ply,0,10,1
pair_052,P01,baseline_variant,P01_F00_baseline.ply,P01_F11_degraded.ply,0,11,1
pair_053,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F01_edgeOcc_left_mild.ply,0,1,1
pair_054,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F02_edgeOcc_right_mild.ply,0,2,1
pair_055,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F03_edgeOcc_both_mild.ply,0,3,1
pair_056,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F04_edgeOcc_both_heavy.ply,0,4,1
pair_057,P02,baseline_variant,P02_F00_edgeOcc_baseline.ply,P02_F05_rollHeavy_noHole.ply,0,5,1
pair_058,S01,temporal_adjacent,S01_F00_left_growth_3.ply,S01_F01_left_growth_4.ply,0,1,1
pair_059,S01,temporal_adjacent,S01_F01_left_growth_4.ply,S01_F02_left_growth_5.ply,1,2,1
pair_060,S01,temporal_adjacent,S01_F02_left_growth_5.ply,S01_F03_left_growth_6.ply,2,3,1
pair_061,S02,temporal_adjacent,S02_F00_right_growth_3.ply,S02_F01_right_growth_4.ply,0,1,1
pair_062,S02,temporal_adjacent,S02_F01_right_growth_4.ply,S02_F02_right_growth_5.ply,1,2,1
pair_063,S03,temporal_adjacent,S03_F00_two_sides_4.ply,S03_F01_two_sides_5.ply,0,1,1
pair_064,S03,temporal_adjacent,S03_F01_two_sides_5.ply,S03_F02_two_sides_6.ply,1,2,1
pair_065,S03,temporal_adjacent,S03_F02_two_sides_6.ply,S03_F03_two_sides_7.ply,2,3,1
pair_066,S03,temporal_adjacent,S03_F03_two_sides_7.ply,S03_F04_two_sides_8.ply,3,4,1
pair_067,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F01_internal_gap_10cm.ply,0,1,1
pair_068,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F02_internal_gap_28cm.ply,0,2,1
pair_069,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F03_internal_gap_45cm.ply,0,3,1
pair_070,S05,temporal_adjacent,S05_F00_yaw_motion_0.ply,S05_F01_yaw_motion_1.ply,0,1,1
pair_071,S05,temporal_adjacent,S05_F01_yaw_motion_1.ply,S05_F02_yaw_motion_2.ply,1,2,1
pair_072,S05,temporal_adjacent,S05_F02_yaw_motion_2.ply,S05_F03_yaw_motion_3.ply,2,3,1
pair_073,S06,temporal_adjacent,S06_F00_all_visible.ply,S06_F01_id2_partial.ply,0,1,1
pair_074,S06,temporal_adjacent,S06_F01_id2_partial.ply,S06_F02_id2_occluded.ply,1,2,1
pair_075,S06,temporal_adjacent,S06_F02_id2_occluded.ply,S06_F03_id2_return_partial.ply,2,3,1
pair_076,S06,temporal_adjacent,S06_F03_id2_return_partial.ply,S06_F04_recovered.ply,3,4,1
pair_077,S07,temporal_adjacent,S07_F00_baseline.ply,S07_F01_new_plus_occluded.ply,0,1,1
pair_078,S08,temporal_adjacent,S08_F00_two_layer_base.ply,S08_F01_add_layer2.ply,0,1,1
pair_079,S08,temporal_adjacent,S08_F01_add_layer2.ply,S08_F02_two_layer_rollobs.ply,1,2,1
pair_080,S09,temporal_adjacent,S09_F00_before_two_new.ply,S09_F01_two_new_simultaneous.ply,0,1,1
pair_081,S10,temporal_adjacent,S10_F00_same_geometry_stress_0.ply,S10_F01_same_geometry_stress_1.ply,0,1,1
pair_082,S10,temporal_adjacent,S10_F01_same_geometry_stress_1.ply,S10_F02_same_geometry_stress_2.ply,1,2,1
pair_083,S11,temporal_adjacent,S11_F00_L1_full_10.ply,S11_F01_L1_full_then_L2_new.ply,0,1,1
pair_084,S12,baseline_variant,S12_F00_view_clean.ply,S12_F01_view_top_view.ply,0,1,1
pair_085,S12,baseline_variant,S12_F00_view_clean.ply,S12_F02_view_side_view.ply,0,2,1
pair_086,S12,baseline_variant,S12_F00_view_clean.ply,S12_F03_view_degraded.ply,0,3,1
pair_087,Z01,temporal_adjacent,Z01_F00_topdown_yaw_motion_0.ply,Z01_F01_topdown_yaw_motion_1.ply,0,1,0
pair_088,Z01,temporal_adjacent,Z01_F01_topdown_yaw_motion_1.ply,Z01_F02_topdown_yaw_motion_2.ply,1,2,0
pair_089,Z01,temporal_adjacent,Z01_F02_topdown_yaw_motion_2.ply,Z01_F03_topdown_yaw_motion_3.ply,2,3,0
pair_090,Z02,temporal_adjacent,Z02_F00_topdown_two_side_complex_start.ply,Z02_F01_topdown_left_new_far_gap.ply,0,1,0
pair_091,Z02,temporal_adjacent,Z02_F01_topdown_left_new_far_gap.ply,Z02_F02_topdown_right_new_partial_left.ply,1,2,0
pair_092,Z02,temporal_adjacent,Z02_F02_topdown_right_new_partial_left.ply,Z02_F03_topdown_two_new_both_sides.ply,2,3,0
pair_093,Z02,temporal_adjacent,Z02_F03_topdown_two_new_both_sides.ply,Z02_F04_topdown_two_side_with_occluded.ply,3,4,0
pair_094,Z02,temporal_adjacent,Z02_F04_topdown_two_side_with_occluded.ply,Z02_F05_topdown_occluded_return_partial.ply,4,5,0
pair_095,Z03,temporal_adjacent,Z03_F00_topdown_full_l1_start.ply,Z03_F01_topdown_layer2_new_yaw.ply,0,1,0
pair_096,Z03,temporal_adjacent,Z03_F01_topdown_layer2_new_yaw.ply,Z03_F02_topdown_second_layer2_new.ply,1,2,0
pair_097,Z03,temporal_adjacent,Z03_F02_topdown_second_layer2_new.ply,Z03_F03_topdown_layer2_new_lower_occluded.ply,2,3,0
pair_098,Z03,temporal_adjacent,Z03_F03_topdown_layer2_new_lower_occluded.ply,Z03_F04_topdown_layer2_motion_lower_return.ply,3,4,0
pair_099,Z03,temporal_adjacent,Z03_F04_topdown_layer2_motion_lower_return.ply,Z03_F05_topdown_fourth_layer2_new.ply,4,5,0
pair_100,Z04,temporal_adjacent,Z04_F00_topdown_same_geom_start.ply,Z04_F01_topdown_nearest_neighbor_trap.ply,0,1,0
pair_101,Z04,temporal_adjacent,Z04_F01_topdown_nearest_neighbor_trap.ply,Z04_F02_topdown_same_spec_new_after_shift.ply,1,2,0
pair_102,Z04,temporal_adjacent,Z04_F02_topdown_same_spec_new_after_shift.ply,Z04_F03_topdown_same_geom_partial_center.ply,2,3,0
pair_103,Z04,temporal_adjacent,Z04_F03_topdown_same_geom_partial_center.ply,Z04_F04_topdown_same_geom_occluded.ply,3,4,0
pair_104,Z05,temporal_adjacent,Z05_F00_multiview_yaw_motion_0.ply,Z05_F01_topdown_yaw_motion_1.ply,0,1,0
pair_105,Z05,temporal_adjacent,Z05_F01_topdown_yaw_motion_1.ply,Z05_F02_topdown_yaw_motion_2.ply,1,2,0
pair_106,Z05,temporal_adjacent,Z05_F02_topdown_yaw_motion_2.ply,Z05_F03_multiview_yaw_motion_3.ply,2,3,0
pair_107,D01,temporal_adjacent,D01_F00_full_l1_before_l2.ply,D01_F01_l2_new_support0.ply,0,1,1
pair_108,D01,temporal_adjacent,D01_F01_l2_new_support0.ply,D01_F02_l2_new_support1.ply,1,2,1
pair_109,D01,temporal_adjacent,D01_F02_l2_new_support1.ply,D01_F03_upper_settle_l1_locked.ply,2,3,1
pair_110,D02,temporal_adjacent,D02_F00_full_l1_before_right_l2.ply,D02_F01_right_new_support8.ply,0,1,1
pair_111,D02,temporal_adjacent,D02_F01_right_new_support8.ply,D02_F02_right_new_support7.ply,1,2,1
pair_112,D02,temporal_adjacent,D02_F02_right_new_support7.ply,D02_F03_right_new_support6.ply,2,3,1
pair_113,D03,temporal_adjacent,D03_F00_full_l1.ply,D03_F01_new_support1.ply,0,1,1
pair_114,D03,temporal_adjacent,D03_F01_new_support1.ply,D03_F02_new_support7.ply,1,2,1
pair_115,D03,temporal_adjacent,D03_F02_new_support7.ply,D03_F03_multi_new_support3_5.ply,2,3,1
pair_116,D04,temporal_adjacent,D04_F00_full_l1_multiview.ply,D04_F01_top_new_support2.ply,0,1,1
pair_117,D04,temporal_adjacent,D04_F01_top_new_support2.ply,D04_F02_top_new_support3.ply,1,2,1
pair_118,D04,temporal_adjacent,D04_F02_top_new_support3.ply,D04_F03_top_upper_motion.ply,2,3,1
pair_119,D05,temporal_adjacent,D05_F00_bootstrap_double_layer.ply,D05_F01_bootstrap_then_new_support7.ply,0,1,1
pair_120,D05,temporal_adjacent,D05_F01_bootstrap_then_new_support7.ply,D05_F02_bootstrap_followup.ply,1,2,1
pair_121,D06,temporal_adjacent,D06_F00_bootstrap_topdown_heavy.ply,D06_F01_topdown_add_eighth.ply,0,1,1
pair_122,D06,temporal_adjacent,D06_F01_topdown_add_eighth.ply,D06_F02_topdown_all_eight_settle.ply,1,2,1
pair_123,D07,temporal_adjacent,D07_F00_support_identity_start.ply,D07_F01_support_offsets.ply,0,1,1
pair_124,D07,temporal_adjacent,D07_F01_support_offsets.ply,D07_F02_support_offsets_rebound.ply,1,2,1
pair_125,D08,temporal_adjacent,D08_F00_locked_foundation_start.ply,D08_F01_foundation_hard_shift.ply,0,1,1
pair_126,D08,temporal_adjacent,D08_F01_foundation_hard_shift.ply,D08_F02_foundation_returns.ply,1,2,1
pair_127,D09,temporal_adjacent,D09_F00_upper_support_start.ply,D09_F01_upper_off_support.ply,0,1,1
pair_128,D09,temporal_adjacent,D09_F01_upper_off_support.ply,D09_F02_upper_back_on_support.ply,1,2,1
pair_129,D10,temporal_adjacent,D10_F00_full_l1.ply,D10_F01_multi_new_0_7.ply,0,1,1
pair_130,D10,temporal_adjacent,D10_F01_multi_new_0_7.ply,D10_F02_multi_new_1_6.ply,1,2,1
pair_131,D10,temporal_adjacent,D10_F02_multi_new_1_6.ply,D10_F03_multi_new_2_5.ply,2,3,1
pair_132,D10,temporal_adjacent,D10_F03_multi_new_2_5.ply,D10_F04_multi_new_3_4_reach8.ply,3,4,1
pair_133,D10,temporal_adjacent,D10_F04_multi_new_3_4_reach8.ply,D10_F05_illegal_ninth_support8.ply,4,5,1
