pair_id,sequence_id,pair_type,previous_file,current_file,previous_frame_index,current_frame_index,recommended_for_id_eval,num_gt_ids,num_new,num_current_occluded,num_current_partial
pair_024,S03,temporal_adjacent,S03_F03_two_sides_7.ply,S03_F04_two_sides_8.ply,3,4,1,8,1,0,0
pair_025,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F01_internal_gap_10cm.ply,0,1,1,5,0,0,0
pair_026,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F02_internal_gap_28cm.ply,0,2,1,5,0,0,0
pair_027,S04,baseline_variant,S04_F00_internal_gap_02cm.ply,S04_F03_internal_gap_45cm.ply,0,3,1,5,0,0,0
pair_028,S05,temporal_adjacent,S05_F00_yaw_motion_0.ply,S05_F01_yaw_motion_1.ply,0,1,1,6,0,0,0
pair_029,S05,temporal_adjacent,S05_F01_yaw_motion_1.ply,S05_F02_yaw_motion_2.ply,1,2,1,6,0,0,0
pair_030,S05,temporal_adjacent,S05_F02_yaw_motion_2.ply,S05_F03_yaw_motion_3.ply,2,3,1,6,0,0,0
pair_031,S06,temporal_adjacent,S06_F00_all_visible.ply,S06_F01_id2_partial.ply,0,1,1,6,0,0,1
pair_032,S06,temporal_adjacent,S06_F01_id2_partial.ply,S06_F02_id2_occluded.ply,1,2,1,6,0,1,0
pair_033,S06,temporal_adjacent,S06_F02_id2_occluded.ply,S06_F03_id2_return_partial.ply,2,3,1,6,0,0,1
pair_034,S06,temporal_adjacent,S06_F03_id2_return_partial.ply,S06_F04_recovered.ply,3,4,1,6,0,0,0
pair_035,S07,temporal_adjacent,S07_F00_baseline.ply,S07_F01_new_plus_occluded.ply,0,1,1,6,1,1,0
pair_036,S08,temporal_adjacent,S08_F00_two_layer_base.ply,S08_F01_add_layer2.ply,0,1,1,10,1,0,2
pair_037,S08,temporal_adjacent,S08_F01_add_layer2.ply,S08_F02_two_layer_rollobs.ply,1,2,1,10,0,0,2
pair_038,S09,temporal_adjacent,S09_F00_before_two_new.ply,S09_F01_two_new_simultaneous.ply,0,1,1,6,2,0,0
pair_039,S10,temporal_adjacent,S10_F00_same_geometry_stress_0.ply,S10_F01_same_geometry_stress_1.ply,0,1,1,6,0,0,0
pair_040,S10,temporal_adjacent,S10_F01_same_geometry_stress_1.ply,S10_F02_same_geometry_stress_2.ply,1,2,1,6,0,0,1
pair_041,S11,temporal_adjacent,S11_F00_L1_full_10.ply,S11_F01_L1_full_then_L2_new.ply,0,1,1,11,1,0,0
pair_042,S12,baseline_variant,S12_F00_view_clean.ply,S12_F01_view_top_view.ply,0,1,1,6,0,0,0
pair_043,S12,baseline_variant,S12_F00_view_clean.ply,S12_F02_view_side_view.ply,0,2,1,6,0,0,0
pair_044,S12,baseline_variant,S12_F00_view_clean.ply,S12_F03_view_degraded.ply,0,3,1,6,0,0,2
