file,sequence_id,frame_index,layer1_occupied_slots,layer1_unoccupied_slots,left_cluster_slots,right_cluster_slots,full_L1_slots,normal_middle_free_slots,layer2_slots,num_new,num_partial,num_occluded
C09_F00_visibility_complex_start.ply,C09,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
C09_F01_multi_partial_all_move.ply,C09,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,2,0
C09_F02_one_occluded_one_partial.ply,C09,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,1,1
C09_F03_return_plus_new.ply,C09,3,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,1,1,0
C09_F04_visibility_recovered.ply,C09,4,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,0,0,0
C10_F00_rebound_start.ply,C10,0,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
C10_F01_push_forward_xy_yaw.ply,C10,1,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
C10_F02_rebound_reverse.ply,C10,2,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
C10_F03_rebound_then_far_new.ply,C10,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,1,1,0
C10_F04_rebound_final_settle.ply,C10,4,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
P00_F00_prototype_00.ply,P00,0,0,1;2;3;4;5;6;7;8;9,,,,,,0,0,0
P00_F01_prototype_01.ply,P00,1,1,0;2;3;4;5;6;7;8;9,,,,,,0,0,0
P00_F02_prototype_02.ply,P00,2,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P00_F03_prototype_03.ply,P00,3,3,0;1;2;4;5;6;7;8;9,,,,,,0,0,0
P00_F04_prototype_04.ply,P00,4,4,0;1;2;3;5;6;7;8;9,,,,,,0,0,0
P00_F05_prototype_05.ply,P00,5,5,0;1;2;3;4;6;7;8;9,,,,,,0,0,0
P00_F06_prototype_06.ply,P00,6,6,0;1;2;3;4;5;7;8;9,,,,,,0,0,0
P01_F00_baseline.ply,P01,0,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F01_rollObs_mild.ply,P01,1,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F02_rollObs_heavy.ply,P01,2,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F03_yaw_p3.ply,P01,3,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F04_yaw_n5.ply,P01,4,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F05_moveX_p20.ply,P01,5,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F06_moveX_p45_yaw_p4.ply,P01,6,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F07_partial_mild.ply,P01,7,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P01_F08_partial_heavy.ply,P01,8,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P01_F09_top_dominant.ply,P01,9,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F10_side_dominant.ply,P01,10,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P01_F11_degraded.ply,P01,11,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P02_F00_edgeOcc_baseline.ply,P02,0,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
P02_F01_edgeOcc_left_mild.ply,P02,1,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P02_F02_edgeOcc_right_mild.ply,P02,2,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P02_F03_edgeOcc_both_mild.ply,P02,3,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P02_F04_edgeOcc_both_heavy.ply,P02,4,2,0;1;3;4;5;6;7;8;9,,,,,,0,1,0
P02_F05_rollHeavy_noHole.ply,P02,5,2,0;1;3;4;5;6;7;8;9,,,,,,0,0,0
S01_F00_left_growth_3.ply,S01,0,0;1;2,3;4;5;6;7;8;9,0;1;2,,,,,0,0,0
S01_F01_left_growth_4.ply,S01,1,0;1;2;3,4;5;6;7;8;9,0;1;2;3,,,,,1,0,0
S01_F02_left_growth_5.ply,S01,2,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,1,0,0
S01_F03_left_growth_6.ply,S01,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,1,0,0
S02_F00_right_growth_3.ply,S02,0,7;8;9,0;1;2;3;4;5;6,,7;8;9,,,,0,0,0
S02_F01_right_growth_4.ply,S02,1,6;7;8;9,0;1;2;3;4;5,,6;7;8;9,,,,1,0,0
S02_F02_right_growth_5.ply,S02,2,5;6;7;8;9,0;1;2;3;4,,5;6;7;8;9,,,,1,0,0
S03_F00_two_sides_4.ply,S03,0,0;1;8;9,2;3;4;5;6;7,0;1,8;9,,2;3;4;5;6;7,,0,0,0
S03_F01_two_sides_5.ply,S03,1,0;1;2;8;9,3;4;5;6;7,0;1;2,8;9,,3;4;5;6;7,,1,0,0
S03_F02_two_sides_6.ply,S03,2,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,1,0,0
S03_F03_two_sides_7.ply,S03,3,0;1;2;3;7;8;9,4;5;6,0;1;2;3,7;8;9,,4;5;6,,1,0,0
S03_F04_two_sides_8.ply,S03,4,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,1,0,0
S04_F00_internal_gap_02cm.ply,S04,0,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
S04_F01_internal_gap_10cm.ply,S04,1,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
S04_F02_internal_gap_28cm.ply,S04,2,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
S04_F03_internal_gap_45cm.ply,S04,3,0;1;2;3;4,5;6;7;8;9,0;1;2;3;4,,,,,0,0,0
S05_F00_yaw_motion_0.ply,S05,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S05_F01_yaw_motion_1.ply,S05,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S05_F02_yaw_motion_2.ply,S05,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S05_F03_yaw_motion_3.ply,S05,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S06_F00_all_visible.ply,S06,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S06_F01_id2_partial.ply,S06,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,1,0
S06_F02_id2_occluded.ply,S06,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,1
S06_F03_id2_return_partial.ply,S06,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,1,0
S06_F04_recovered.ply,S06,4,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S07_F00_baseline.ply,S07,0,0;1;7;8;9,2;3;4;5;6,0;1,7;8;9,,2;3;4;5;6,,0,0,0
S07_F01_new_plus_occluded.ply,S07,1,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,1,0,1
S08_F00_two_layer_base.ply,S08,0,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,0;1,0,0,0
S08_F01_add_layer2.ply,S08,1,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,0;1;2,1,2,0
S08_F02_two_layer_rollobs.ply,S08,2,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,0;1;2,0,2,0
S09_F00_before_two_new.ply,S09,0,0;1;8;9,2;3;4;5;6;7,0;1,8;9,,2;3;4;5;6;7,,0,0,0
S09_F01_two_new_simultaneous.ply,S09,1,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,2,0,0
S10_F00_same_geometry_stress_0.ply,S10,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S10_F01_same_geometry_stress_1.ply,S10,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
S10_F02_same_geometry_stress_2.ply,S10,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,1,0
S11_F00_L1_full_10.ply,S11,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
S11_F01_L1_full_then_L2_new.ply,S11,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0,1,0,0
S12_F00_view_clean.ply,S12,0,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,0,0,0
S12_F01_view_top_view.ply,S12,1,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,0,0,0
S12_F02_view_side_view.ply,S12,2,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,0,0,0
S12_F03_view_degraded.ply,S12,3,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,0,2,0
S13_F00_full_10_plus_8_100k.ply,S13,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6;7,0,2,0
S14_F00_combo_new_yaw_occ_gap.ply,S14,0,0;1;2;3;4;6;7;8;9,5,0;1;2;3;4,6;7;8;9,,5,,1,1,1
Z01_F00_topdown_yaw_motion_0.ply,Z01,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z01_F01_topdown_yaw_motion_1.ply,Z01,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z01_F02_topdown_yaw_motion_2.ply,Z01,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z01_F03_topdown_yaw_motion_3.ply,Z01,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z02_F00_topdown_two_side_complex_start.ply,Z02,0,0;1;8;9,2;3;4;5;6;7,0;1,8;9,,2;3;4;5;6;7,,0,0,0
Z02_F01_topdown_left_new_far_gap.ply,Z02,1,0;1;2;8;9,3;4;5;6;7,0;1;2,8;9,,3;4;5;6;7,,1,0,0
Z02_F02_topdown_right_new_partial_left.ply,Z02,2,0;1;2;7;8;9,3;4;5;6,0;1;2,7;8;9,,3;4;5;6,,1,1,0
Z02_F03_topdown_two_new_both_sides.ply,Z02,3,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,2,0,0
Z02_F04_topdown_two_side_with_occluded.ply,Z02,4,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,0,1
Z02_F05_topdown_occluded_return_partial.ply,Z02,5,0;1;2;3;6;7;8;9,4;5,0;1;2;3,6;7;8;9,,4;5,,0,1,0
Z03_F00_topdown_full_l1_start.ply,Z03,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
Z03_F01_topdown_layer2_new_yaw.ply,Z03,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0,1,1,0
Z03_F02_topdown_second_layer2_new.ply,Z03,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1,1,1,0
Z03_F03_topdown_layer2_new_lower_occluded.ply,Z03,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;2,1,0,1
Z03_F04_topdown_layer2_motion_lower_return.ply,Z03,4,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2,0,1,0
Z03_F05_topdown_fourth_layer2_new.ply,Z03,5,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3,1,0,0
Z04_F00_topdown_same_geom_start.ply,Z04,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z04_F01_topdown_nearest_neighbor_trap.ply,Z04,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z04_F02_topdown_same_spec_new_after_shift.ply,Z04,2,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,1,0,0
Z04_F03_topdown_same_geom_partial_center.ply,Z04,3,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,0,1,0
Z04_F04_topdown_same_geom_occluded.ply,Z04,4,0;1;2;3;4;5;6,7;8;9,0;1;2;3;4;5;6,,,,,0,0,1
Z05_F00_multiview_yaw_motion_0.ply,Z05,0,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z05_F01_topdown_yaw_motion_1.ply,Z05,1,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z05_F02_topdown_yaw_motion_2.ply,Z05,2,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
Z05_F03_multiview_yaw_motion_3.ply,Z05,3,0;1;2;3;4;5,6;7;8;9,0;1;2;3;4;5,,,,,0,0,0
D01_F00_full_l1_before_l2.ply,D01,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
D01_F01_l2_new_support0.ply,D01,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0,1,0,0
D01_F02_l2_new_support1.ply,D01,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1,1,0,0
D01_F03_upper_settle_l1_locked.ply,D01,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1,0,0,0
D02_F00_full_l1_before_right_l2.ply,D02,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
D02_F01_right_new_support8.ply,D02,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,8,1,0,0
D02_F02_right_new_support7.ply,D02,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,7;8,1,0,0
D02_F03_right_new_support6.ply,D02,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,6;7;8,1,0,0
D03_F00_full_l1.ply,D03,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
D03_F01_new_support1.ply,D03,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1,1,0,0
D03_F02_new_support7.ply,D03,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1;7,1,0,0
D03_F03_multi_new_support3_5.ply,D03,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1;3;5;7,2,0,0
D04_F00_full_l1_multiview.ply,D04,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
D04_F01_top_new_support2.ply,D04,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,2,1,9,2
D04_F02_top_new_support3.ply,D04,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,2;3,1,9,3
D04_F03_top_upper_motion.ply,D04,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,2;3,0,9,3
D05_F00_bootstrap_double_layer.ply,D05,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1;3;5,0,0,0
D05_F01_bootstrap_then_new_support7.ply,D05,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1;3;5;7,1,0,0
D05_F02_bootstrap_followup.ply,D05,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,1;3;5;7,0,0,0
D06_F00_bootstrap_topdown_heavy.ply,D06,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6,0,9,8
D06_F01_topdown_add_eighth.ply,D06,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6;7,1,9,9
D06_F02_topdown_all_eight_settle.ply,D06,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6;7,0,9,9
D07_F00_support_identity_start.ply,D07,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;2;4;6,0,0,0
D07_F01_support_offsets.ply,D07,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;2;4;6,0,0,0
D07_F02_support_offsets_rebound.ply,D07,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;2;4;6,0,0,0
D08_F00_locked_foundation_start.ply,D08,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,3;5,0,0,0
D08_F01_foundation_hard_shift.ply,D08,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,3;5,0,0,0
D08_F02_foundation_returns.ply,D08,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,3;5,0,0,0
D09_F00_upper_support_start.ply,D09,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,4,0,0,0
D09_F01_upper_off_support.ply,D09,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,4,0,0,0
D09_F02_upper_back_on_support.ply,D09,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,4,0,0,0
D10_F00_full_l1.ply,D10,0,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,,0,0,0
D10_F01_multi_new_0_7.ply,D10,1,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;7,2,0,0
D10_F02_multi_new_1_6.ply,D10,2,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;6;7,2,0,0
D10_F03_multi_new_2_5.ply,D10,3,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;5;6;7,2,0,0
D10_F04_multi_new_3_4_reach8.ply,D10,4,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6;7,2,0,0
D10_F05_illegal_ninth_support8.ply,D10,5,0;1;2;3;4;5;6;7;8;9,,,,0;1;2;3;4;5;6;7;8;9,,0;1;2;3;4;5;6;7;8,1,0,0
